;2015;2016;2017;2018;2019;2020;2021;2022;2023;2015;2016;2017;2018;2019;2020;2021;2022;2023;2015;2016;2017;2018;2019;2020;2021;2022;2023
KALIMANTAN UTARA;92,11;92,72;92,04;92,03;93,23;96,38;95,77;96,94;96,41;83,02;81,96;82,36;82,85;83,85;87,14;90,14;90,55;88,08;47,64;58,6;57,43;58,22;61,1;67,77;62,3;54,8;59,5
SULAWESI UTARA;93,41;94,97;95,9;95,48;95,97;95,58;96,1;96,74;96,18;82,35;88,08;86,01;86,72;85,67;86,69;91,05;91,98;92,07;55,5;72,33;67,46;70,02;67,58;73,79;68,56;66,66;67,57
SULAWESI TENGAH;87,06;90,93;92,83;91,44;93,56;95,05;96,19;97,19;97,56;77,31;80,76;81,72;78,61;82,23;82,79;85,42;88,9;90,05;45,84;61,79;62,73;53,84;52;57,68;61,16;53,73;55,69
SULAWESI SELATAN;91,18;93,79;94,53;94,05;95,18;96,13;97,3;98,05;98,37;78,08;82,46;83,01;83,32;83,74;85,08;88,18;90,55;88,74;50,85;59,56;63,82;56,86;60,97;66,22;69,43;68,32;67,41
SULAWESI TENGGARA;92,21;95,58;94,16;95,25;94,54;95,28;95,58;97,24;97,83;82,75;88,06;85,1;86,05;85,46;89,18;90,88;91,19;89,55;61,52;67,12;67,75;67,67;64,26;68,28;70,65;65,97;68,28
GORONTALO;85,72;88,98;87,14;88,24;89,04;91,9;93,44;95,12;93,69;68,81;73,35;73,62;77,41;80,6;80,1;81,22;80,56;83,71;44,67;50,79;55,3;52,39;50,87;55,35;53,73;45,12;46,19
SULAWESI BARAT;90,27;90,78;90,29;92,6;91,54;94,7;95,93;97,15;95,13;75,58;79,45;78,46;78,83;77,68;83,08;86,09;84,14;84,04;39,29;53,45;56,17;37,65;48,2;56,6;56,22;55,18;54,79
MALUKU;91,56;93,6;93,98;94,49;94,95;97,47;98,5;98,98;98,69;86,29;88,43;84,35;86,38;88,43;88,04;93,08;93,65;93,9;58,59;72,87;73,58;66,42;67,82;70,55;68,12;72,08;75,01
MALUKU UTARA;92,25;91,83;95,37;95,65;94,66;95,59;96,97;97,72;98,3;76,39;83,23;83,76;85,39;85,07;87,41;92,93;94,92;93,46;57,12;64,87;65,14;60,07;59,13;66,52;66,95;67,1;64,61
PAPUA BARAT;82,45;84,77;85,96;86,46;88,46;89,25;91,81;93,94;92,69;76,33;76,28;78,31;81,19;80,91;83,47;85,18;87,03;88,63;55,24;56,12;62,81;60,47;50,95;61,49;59,08;57,07;59,99
PAPUA;62,34;65,66;74,18;71,83;73,07;78,4;78,43;81,99;80,09;50,57;54,82;57,86;57,19;59,31;65,75;66,06;66,16;67,12;28,23;35,69;33,82;29,56;27,44;30,92;32,95;39,01;39,5
